Date,Open,High,Low,Close,Volume
2022-02-21,1504.96,1516.63,1500.97,1510.84,700630100
2022-02-22,1497.46,1510.84,1484.81,1503.47,840921100
2022-02-23,1509.42,1520.78,1503.47,1512.3,626441100
2022-02-24,1511.84,1513.25,1473.76,1494.85,1081033200
2022-02-25,1504.37,1512.05,1494.85,1498.89,688367500
2022-02-28,1499.31,1502.36,1487.57,1490.13,660300600
2022-03-01,1498.78,1501.73,1490.13,1498.78,763985300
2022-03-02,1485.52,1500.41,1479.55,1485.52,864826100
2022-03-03,1505.0,1505.0,1485.52,1505.0,856180700
2022-03-04,1506.79,1509.19,1501.39,1505.33,842435300
2022-03-07,1500.65,1505.33,1493.87,1499.05,944252700
2022-03-08,1499.05,1499.05,1473.71,1473.71,946264000
2022-03-09,1478.16,1482.86,1462.8,1473.74,859273700
2022-03-10,1473.74,1488.59,1473.74,1479.08,606653300
2022-03-11,1478.23,1480.29,1458.88,1466.54,827336200
2022-03-14,1459.28,1466.54,1439.19,1446.25,783682300
2022-03-15,1445.05,1453.07,1437.27,1452.74,614172600
2022-03-16,1459.97,1462.98,1453.91,1459.33,525397100
2022-03-17,1466.56,1467.74,1459.14,1461.34,665148800
2022-03-18,1466.14,1474.86,1465.57,1469.1,721230300
2022-03-21,1469.1,1494.95,1469.1,1494.95,728427200
2022-03-22,1500.08,1507.71,1498.48,1503.78,907837000
2022-03-23,1505.76,1513.9,1501.67,1502.34,754499800
2022-03-24,1503.91,1505.39,1495.18,1498.26,731841800
2022-03-25,1500.17,1503.29,1494.55,1498.5,697177400
2022-03-28,1490.28,1496.79,1473.8,1483.18,956230200
2022-03-29,1487.57,1498.45,1487.57,1497.76,658819400
2022-03-30,1491.92,1503.89,1483.9,1490.51,851999600
2022-03-31,1492.5,1498.41,1488.27,1492.15,601257500
2022-04-01,1489.48,1516.87,1484.13,1516.44,890089000
2022-04-04,1528.87,1530.95,1522.82,1524.7,697174200
2022-04-05,1521.37,1527.57,1519.28,1520.03,631745800
